master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
15d4078e-a657-11ea-bd63-000d3a38a36f,131,2.0,159.97,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
15e61b76-a1ef-11e9-a2fc-000d3a38a36f,22,2.0,572.86,5,1,3,51,new_customers,"[ERKEK, COCUK, KADIN]"
15e697be-5bf7-11ea-a55f-000d3a38a36f,281,7.0,666.9,1,5,4,15,cant_loose,[ERKEK]
15e9749c-d683-11e9-93bc-000d3a38a36f,10,2.0,174.97,5,1,1,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]"
163597c0-b16a-11e9-89fa-000d3a38a36f,159,9.0,2368.72,2,5,5,25,cant_loose,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
164d388e-a720-11e9-a2fc-000d3a38a36f,322,7.0,938.84,1,5,4,15,cant_loose,"[ERKEK, AKTIFSPOR]"
1684eda8-d63a-11e9-93bc-000d3a38a36f,190,8.0,1200.49,2,5,5,25,cant_loose,"[AKTIFCOCUK, COCUK, KADIN]"
16ef5a7e-b120-11e9-9757-000d3a38a36f,203,34.0,5483.03,2,5,5,25,cant_loose,[AKTIFCOCUK]
17261cc6-ac66-11e9-a2fc-000d3a38a36f,332,10.0,896.32,1,5,4,15,cant_loose,"[COCUK, KADIN]"
172f9d2e-7523-11ea-b23f-000d3a38a36f,128,3.0,684.86,3,2,4,32,about_to_sleep,"[ERKEK, AKTIFSPOR]"
178add48-af7a-11e9-a2fc-000d3a38a36f,114,2.0,309.95,3,1,2,31,about_to_sleep,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
17e759ca-a470-11e9-a2fc-000d3a38a36f,112,2.0,194.98000000000002,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, COCUK]"
1805b5ca-5b52-11ea-8770-000d3a38a36f,125,3.0,459.61,3,2,3,32,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
1807867e-d719-11e9-93bc-000d3a38a36f,12,2.0,245.86,5,1,1,51,new_customers,"[ERKEK, KADIN]"
18184278-1dce-11eb-8d74-000d3a38a36f,25,2.0,195.47,5,1,1,51,new_customers,[ERKEK]
181fc774-abb4-11e9-a2fc-000d3a38a36f,121,3.0,231.36,3,2,1,32,about_to_sleep,"[ERKEK, AKTIFSPOR]"
1854e56c-491f-11eb-806e-000d3a38a36f,136,2.0,121.97,3,1,1,31,about_to_sleep,[ERKEK]
1886236c-7408-11ea-92d0-000d3a38a36f,124,2.0,645.7,3,1,3,31,about_to_sleep,[AKTIFCOCUK]
189eea8a-ac8c-11e9-a2fc-000d3a38a36f,103,3.0,405.33000000000004,3,2,2,32,about_to_sleep,"[COCUK, AKTIFSPOR]"
18bef850-5b39-11ea-b2be-000d3a38a36f,30,2.0,322.38,5,1,2,51,new_customers,"[AKTIFCOCUK, COCUK, AKTIFSPOR]"
18e746be-70c1-11ea-91b2-000d3a38a36f,128,2.0,210.72,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, KADIN]"
1981e95a-2957-11ea-b87a-000d3a38a36f,100,2.0,325.99,3,1,2,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
1982ac0e-9f4c-11e9-9897-000d3a38a36f,339,12.0,1618.22,1,5,5,15,cant_loose,"[AKTIFCOCUK, COCUK]"
199024ec-bfad-11ea-9c44-000d3a38a36f,108,2.0,486.86,3,1,3,31,about_to_sleep,"[COCUK, AKTIFSPOR]"
19e194d2-4ac6-11ea-8533-000d3a38a36f,249,7.0,972.8900000000001,1,5,4,15,cant_loose,"[ERKEK, COCUK, AKTIFSPOR]"
19ffb4f6-b0b2-11ea-b736-000d3a38a36f,132,2.0,239.98000000000002,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK]"
1a23ccfc-5bc5-11ea-8b06-000d3a38a36f,127,2.0,139.95,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, AKTIFSPOR]"
1a26bbcc-adb2-11e9-a2fc-000d3a38a36f,165,9.0,1207.78,2,5,5,25,cant_loose,"[ERKEK, KADIN]"
1a405b4c-a950-11e9-a2fc-000d3a38a36f,133,2.0,279.96,3,1,1,31,about_to_sleep,"[COCUK, KADIN]"
1a499136-24d3-11ea-bf27-000d3a38a36f,34,2.0,215.54,5,1,1,51,new_customers,[ERKEK]
1a5c8f40-cd82-11ea-b1a6-000d3a38a36f,132,2.0,190.87,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
1a7c6ffc-fedb-11e9-a5e8-000d3a38a36f,322,9.0,1959.21,1,5,5,15,cant_loose,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
1a7da362-d885-11e9-93bc-000d3a38a36f,24,2.0,310.47,5,1,2,51,new_customers,[AKTIFCOCUK]
1a9b506a-aa13-11e9-a2fc-000d3a38a36f,354,7.0,793.11,1,5,4,15,cant_loose,"[ERKEK, COCUK, AKTIFSPOR]"
1ac2b82a-5b9e-11ea-a09c-000d3a38a36f,136,2.0,286.71,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, COCUK, AKTIFSPOR]"
1acf7870-87af-11ea-ace9-000d3a38a36f,104,2.0,298.09000000000003,3,1,1,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
